,datetime,personal,heavy_goods
325,2023-01-14 13:00:00+00:00,1532,131
326,2023-01-14 14:00:00+00:00,1389,96
327,2023-01-14 15:00:00+00:00,1414,95
328,2023-01-14 16:00:00+00:00,1423,113
329,2023-01-14 17:00:00+00:00,1281,86
330,2023-01-14 18:00:00+00:00,1161,71
331,2023-01-14 19:00:00+00:00,1010,67
332,2023-01-14 20:00:00+00:00,742,31
333,2023-01-14 21:00:00+00:00,445,37
334,2023-01-14 22:00:00+00:00,319,27
335,2023-01-14 23:00:00+00:00,261,11
336,2023-01-15 00:00:00+00:00,166,11
337,2023-01-15 01:00:00+00:00,134,6
338,2023-01-15 02:00:00+00:00,101,12
339,2023-01-15 03:00:00+00:00,75,12
340,2023-01-15 04:00:00+00:00,41,2
341,2023-01-15 05:00:00+00:00,78,6
342,2023-01-15 06:00:00+00:00,112,15
343,2023-01-15 07:00:00+00:00,239,15
344,2023-01-15 08:00:00+00:00,284,29
345,2023-01-15 09:00:00+00:00,500,38
346,2023-01-15 10:00:00+00:00,710,52
347,2023-01-15 11:00:00+00:00,1077,55
348,2023-01-15 12:00:00+00:00,1440,60
349,2023-01-15 13:00:00+00:00,1546,65
350,2023-01-15 14:00:00+00:00,1384,74
351,2023-01-15 15:00:00+00:00,1481,84
352,2023-01-15 16:00:00+00:00,1546,91
353,2023-01-15 17:00:00+00:00,1244,96
354,2023-01-15 18:00:00+00:00,1094,75
355,2023-01-15 19:00:00+00:00,730,56
356,2023-01-15 20:00:00+00:00,533,32
357,2023-01-15 21:00:00+00:00,376,27
358,2023-01-15 22:00:00+00:00,236,14
359,2023-01-15 23:00:00+00:00,154,16
360,2023-01-16 00:00:00+00:00,75,13
361,2023-01-16 01:00:00+00:00,33,13
362,2023-01-16 02:00:00+00:00,35,20
363,2023-01-16 03:00:00+00:00,43,19
364,2023-01-16 04:00:00+00:00,58,30
365,2023-01-16 05:00:00+00:00,193,83
366,2023-01-16 06:00:00+00:00,729,181
367,2023-01-16 07:00:00+00:00,1516,339
368,2023-01-16 08:00:00+00:00,1872,334
369,2023-01-16 09:00:00+00:00,1066,318
370,2023-01-16 10:00:00+00:00,850,235
371,2023-01-16 11:00:00+00:00,911,253
372,2023-01-16 12:00:00+00:00,889,247
373,2023-01-16 13:00:00+00:00,966,228
374,2023-01-16 14:00:00+00:00,1135,228
375,2023-01-16 15:00:00+00:00,1386,306
376,2023-01-16 16:00:00+00:00,1614,329
377,2023-01-16 17:00:00+00:00,1779,207
378,2023-01-16 18:00:00+00:00,1180,130
379,2023-01-16 19:00:00+00:00,755,78
380,2023-01-16 20:00:00+00:00,472,51
381,2023-01-16 21:00:00+00:00,338,35
382,2023-01-16 22:00:00+00:00,206,24
383,2023-01-16 23:00:00+00:00,138,26
384,2023-01-17 00:00:00+00:00,63,12
385,2023-01-17 01:00:00+00:00,26,20
386,2023-01-17 02:00:00+00:00,57,10
387,2023-01-17 03:00:00+00:00,41,30
388,2023-01-17 04:00:00+00:00,70,46
389,2023-01-17 05:00:00+00:00,187,97
390,2023-01-17 06:00:00+00:00,666,170
391,2023-01-17 07:00:00+00:00,1571,392
392,2023-01-17 08:00:00+00:00,1826,324
393,2023-01-17 09:00:00+00:00,1152,318
394,2023-01-17 10:00:00+00:00,922,266
395,2023-01-17 11:00:00+00:00,857,224
396,2023-01-17 12:00:00+00:00,917,239
397,2023-01-17 13:00:00+00:00,994,236
398,2023-01-17 14:00:00+00:00,1075,239
399,2023-01-17 15:00:00+00:00,1353,295
400,2023-01-17 16:00:00+00:00,1719,322
401,2023-01-17 17:00:00+00:00,1831,251
402,2023-01-17 18:00:00+00:00,1305,167
403,2023-01-17 19:00:00+00:00,796,95
404,2023-01-17 20:00:00+00:00,575,57
405,2023-01-17 21:00:00+00:00,368,41
406,2023-01-17 22:00:00+00:00,252,30
407,2023-01-17 23:00:00+00:00,122,23
408,2023-01-18 00:00:00+00:00,57,11
409,2023-01-18 01:00:00+00:00,52,12
410,2023-01-18 02:00:00+00:00,65,27
411,2023-01-18 03:00:00+00:00,41,24
412,2023-01-18 04:00:00+00:00,70,42
413,2023-01-18 05:00:00+00:00,211,96
414,2023-01-18 06:00:00+00:00,652,167
415,2023-01-18 07:00:00+00:00,1462,371
416,2023-01-18 08:00:00+00:00,1825,330
417,2023-01-18 09:00:00+00:00,1190,325
418,2023-01-18 10:00:00+00:00,863,284
419,2023-01-18 11:00:00+00:00,917,259
420,2023-01-18 12:00:00+00:00,971,248
421,2023-01-18 13:00:00+00:00,1188,237
